INSERT INTO operationrechargement (dateheuredebut,dateheurefin,idcontrole,idborne,nbkwheures) VALUES
(5,660,null,null,null,null),
(6,660,2023,1,1,10),
(391,660,null,null,null,null),
(392,660,null,null,null,null),
(393,660,null,null,null,null),
(394,660,null,null,null,null),
(25,5,2018,1,1,10),
(26,5,null,null,null,null),
(27,5,2018,1,1,10),
(28,5,null,null,null,null),
(29,5,null,null,null,null),
(30,5,null,null,null,null),
(407,5,2018,1,1,10),
(408,5,null,null,null,null),
(409,5,2018,1,1,10),
(410,5,null,null,null,null),
(25,14,null,null,null,null),
(26,14,null,null,null,null),
(27,14,2018,1,1,10),
(28,14,null,null,null,null),
(29,14,null,null,null,null),
(30,14,2018,1,1,10),
(407,14,null,null,null,null),
(408,14,2018,1,1,10),
(409,14,null,null,null,null),
(410,14,null,null,null,null),
(25,135,null,null,null,null),
(26,135,null,null,null,null),
(27,135,null,null,null,null),
(28,135,2019,1,1,10),
(29,135,null,null,null,null),
(30,135,null,null,null,null),
(407,135,2019,1,1,10),
(408,135,null,null,null,null),
(409,135,null,null,null,null),
(410,135,2019,1,1,10),
(25,144,null,null,null,null),
(26,144,null,null,null,null),
(27,144,2019,1,1,10),
(28,144,null,null,null,null),
(29,144,2019,1,1,10),
(30,144,2019,1,1,10),
(407,144,2019,1,1,10),
(408,144,null,null,null,null),
(409,144,null,null,null,null),
(410,144,2019,1,1,10),
(25,265,null,null,null,null),
(26,265,null,null,null,null),
(27,265,null,null,null,null),
(28,265,null,null,null,null),
(29,265,2020,1,1,10),
(30,265,null,null,null,null),
(407,265,2020,1,1,10),
(408,265,null,null,null,null),
(409,265,2020,1,1,10),
(410,265,2020,1,1,10),
(25,274,null,null,null,null),
(26,274,null,null,null,null),
(27,274,2020,1,1,10),
(28,274,2020,1,1,10),
(29,274,2020,1,1,10),
(30,274,2020,1,1,10),
(407,274,null,null,null,null),
(408,274,2020,1,1,10),
(409,274,2020,1,1,10),
(410,274,2020,1,1,10),
(25,395,2021,1,1,10),
(26,395,null,null,null,null),
(27,395,null,null,null,null),
(28,395,2021,1,1,10),
(29,395,null,null,null,null),
(30,395,null,null,null,null),
(407,395,2021,1,1,10),
(408,395,2021,1,1,10),
(409,395,null,null,null,null),
(410,395,2021,1,1,10),
(25,404,null,null,null,null),
(26,404,2021,1,1,10),
(27,404,null,null,null,null),
(28,404,null,null,null,null),
(29,404,null,null,null,null),
(30,404,2021,1,1,10),
(407,404,2021,1,1,10),
(408,404,2021,1,1,10),
(409,404,null,null,null,null),
(410,404,2021,1,1,10),
(25,525,2022,1,1,10),
(26,525,2022,1,1,10),
(27,525,null,null,null,null),
(28,525,2022,1,1,10),
(29,525,null,null,null,null),
(30,525,2022,1,1,10),
(407,525,2022,1,1,10),
(408,525,null,null,null,null),
(409,525,2022,1,1,10),
(410,525,2022,1,1,10),
(25,534,null,null,null,null),
(26,534,2022,1,1,10),
(27,534,2022,1,1,10),
(28,534,2022,1,1,10),
(29,534,null,null,null,null),
(30,534,2022,1,1,10),
(407,534,null,null,null,null),
(408,534,2022,1,1,10),
(409,534,null,null,null,null),
(410,534,2022,1,1,10),
(25,655,null,null,null,null),
(26,655,null,null,null,null),
(27,655,2023,1,1,10),
(28,655,2023,1,1,10),
(29,655,null,null,null,null),
(30,655,2023,1,1,10),
(407,655,null,null,null,null),
(408,655,null,null,null,null),
(409,655,null,null,null,null),
(410,655,2023,1,1,10),
(25,664,null,null,null,null),
(26,664,null,null,null,null),
(27,664,2023,1,1,10),
(28,664,2023,1,1,10),
(29,664,2023,1,1,10),
(30,664,null,null,null,null),
(407,664,null,null,null,null),
(408,664,2023,1,1,10),
(409,664,2023,1,1,10),
(410,664,null,null,null,null),
(49,9,null,null,null,null),
(50,9,null,null,null,null),
(51,9,2018,1,1,10),
(52,9,null,null,null,null),
(53,9,2018,1,1,10),
(54,9,null,null,null,null),
(423,9,2018,1,1,10),
(424,9,null,null,null,null),
(425,9,2018,1,1,10),
(426,9,null,null,null,null),
(49,18,2018,1,1,10),
(50,18,null,null,null,null),
(51,18,2018,1,1,10),
(52,18,null,null,null,null),
(53,18,2018,1,1,10),
(54,18,2018,1,1,10),
(423,18,null,null,null,null),
(424,18,2018,1,1,10),
(425,18,null,null,null,null),
(426,18,null,null,null,null),
(49,139,2019,1,1,10),
(50,139,2019,1,1,10),
(51,139,null,null,null,null),
(52,139,2019,1,1,10),
(53,139,null,null,null,null),
(54,139,2019,1,1,10),
(423,139,2019,1,1,10),
(424,139,null,null,null,null),
(425,139,2019,1,1,10),
(426,139,null,null,null,null),
(49,148,null,null,null,null),
(50,148,null,null,null,null),
(51,148,2019,1,1,10),
(52,148,2019,1,1,10),
(53,148,null,null,null,null),
(54,148,2019,1,1,10),
(423,148,2019,1,1,10),
(424,148,2019,1,1,10),
(425,148,null,null,null,null),
(426,148,null,null,null,null),
(49,269,null,null,null,null),
(50,269,null,null,null,null),
(51,269,null,null,null,null),
(52,269,2020,1,1,10),
(53,269,null,null,null,null),
(54,269,2020,1,1,10),
(423,269,null,null,null,null),
(424,269,2020,1,1,10),
(425,269,2020,1,1,10),
(426,269,2020,1,1,10),
(49,278,2020,1,1,10),
(50,278,null,null,null,null),
(51,278,null,null,null,null),
(52,278,2020,1,1,10),
(53,278,2020,1,1,10),
(54,278,null,null,null,null),
(423,278,2020,1,1,10),
(424,278,null,null,null,null),
(425,278,2020,1,1,10),
(426,278,null,null,null,null),
(49,399,null,null,null,null),
(50,399,null,null,null,null),
(51,399,2021,1,1,10),
(52,399,null,null,null,null),
(53,399,null,null,null,null),
(54,399,2021,1,1,10),
(423,399,null,null,null,null),
(424,399,2021,1,1,10),
(425,399,2021,1,1,10),
(426,399,2021,1,1,10),
(49,408,2021,1,1,10),
(50,408,null,null,null,null),
(51,408,null,null,null,null),
(52,408,null,null,null,null),
(53,408,2021,1,1,10),
(54,408,null,null,null,null),
(423,408,null,null,null,null),
(424,408,2021,1,1,10),
(425,408,null,null,null,null),
(426,408,null,null,null,null),
(49,529,2022,1,1,10),
(50,529,2022,1,1,10),
(51,529,2022,1,1,10),
(52,529,2022,1,1,10),
(53,529,null,null,null,null),
(54,529,2022,1,1,10),
(423,529,2022,1,1,10),
(424,529,2022,1,1,10),
(425,529,null,null,null,null),
(426,529,2022,1,1,10),
(49,538,null,null,null,null),
(50,538,null,null,null,null),
(51,538,2022,1,1,10),
(52,538,2022,1,1,10),
(53,538,null,null,null,null),
(54,538,null,null,null,null),
(423,538,2022,1,1,10),
(424,538,2022,1,1,10),
(425,538,null,null,null,null),
(426,538,2022,1,1,10),
(49,659,2023,1,1,10),
(50,659,2023,1,1,10),
(51,659,2023,1,1,10),
(52,659,null,null,null,null),
(53,659,null,null,null,null),
(54,659,2023,1,1,10),
(423,659,2023,1,1,10),
(424,659,2023,1,1,10),
(425,659,2023,1,1,10),
(426,659,null,null,null,null),
(49,668,null,null,null,null),
(50,668,null,null,null,null),
(51,668,2023,1,1,10),
(52,668,2023,1,1,10),
(53,668,null,null,null,null),
(54,668,null,null,null,null),
(423,668,2023,1,1,10),
(424,668,2023,1,1,10),
(425,668,null,null,null,null),
(426,668,2023,1,1,10),
(55,19,2018,1,1,10),
(56,19,null,null,null,null),
(57,19,null,null,null,null),
(58,19,null,null,null,null),
(59,19,null,null,null,null),
(60,19,2018,1,1,10),
(427,19,2018,1,1,10),
(428,19,null,null,null,null),
(429,19,2018,1,1,10),
(430,19,2018,1,1,10),
(55,30,null,null,null,null),
(56,30,2018,1,1,10),
(57,30,null,null,null,null),
(58,30,2018,1,1,10),
(59,30,null,null,null,null),
(60,30,2018,1,1,10),
(427,30,2018,1,1,10),
(428,30,2018,1,1,10),
(429,30,null,null,null,null),
(430,30,null,null,null,null),
(55,149,2019,1,1,10),
(56,149,2019,1,1,10),
(57,149,2019,1,1,10),
(58,149,2019,1,1,10),
(59,149,2019,1,1,10),
(60,149,2019,1,1,10),
(427,149,null,null,null,null),
(428,149,2019,1,1,10),
(429,149,null,null,null,null),
(430,149,null,null,null,null),
(55,160,null,null,null,null),
(56,160,2019,1,1,10),
(57,160,null,null,null,null),
(58,160,null,null,null,null),
(59,160,2019,1,1,10),
(60,160,2019,1,1,10),
(427,160,2019,1,1,10),
(428,160,null,null,null,null),
(429,160,2019,1,1,10),
(430,160,2019,1,1,10),
(55,279,2020,1,1,10),
(56,279,2020,1,1,10),
(57,279,2020,1,1,10),
(58,279,null,null,null,null),
(59,279,null,null,null,null),
(60,279,null,null,null,null),
(427,279,2020,1,1,10),
(428,279,2020,1,1,10),
(429,279,2020,1,1,10),
(430,279,2020,1,1,10),
(55,290,2020,1,1,10),
(56,290,2020,1,1,10),
(57,290,2020,1,1,10),
(58,290,null,null,null,null),
(59,290,null,null,null,null),
(60,290,2020,1,1,10),
(427,290,null,null,null,null),
(428,290,2020,1,1,10),
(429,290,2020,1,1,10),
(430,290,2020,1,1,10),
(55,409,2021,1,1,10),
(56,409,null,null,null,null),
(57,409,2021,1,1,10),
(58,409,null,null,null,null),
(59,409,null,null,null,null),
(60,409,2021,1,1,10),
(427,409,2021,1,1,10),
(428,409,2021,1,1,10),
(429,409,2021,1,1,10),
(430,409,null,null,null,null),
(55,420,2021,1,1,10),
(56,420,2021,1,1,10),
(57,420,2021,1,1,10),
(58,420,2021,1,1,10),
(59,420,2021,1,1,10),
(60,420,2021,1,1,10),
(427,420,null,null,null,null),
(428,420,2021,1,1,10),
(429,420,2021,1,1,10),
(430,420,null,null,null,null),
(55,539,2022,1,1,10),
(56,539,2022,1,1,10),
(57,539,2022,1,1,10),
(58,539,2022,1,1,10),
(59,539,2022,1,1,10),
(60,539,2022,1,1,10),
(427,539,null,null,null,null),
(428,539,null,null,null,null),
(429,539,null,null,null,null),
(430,539,null,null,null,null),
(55,550,2022,1,1,10),
(56,550,null,null,null,null),
(57,550,null,null,null,null),
(58,550,2022,1,1,10),
(59,550,null,null,null,null),
(60,550,2022,1,1,10),
(427,550,null,null,null,null),
(428,550,2022,1,1,10),
(429,550,2022,1,1,10),
(430,550,2022,1,1,10),
(55,669,null,null,null,null),
(56,669,2023,1,1,10),
(57,669,2023,1,1,10),
(58,669,2023,1,1,10),
(59,669,null,null,null,null),
(60,669,null,null,null,null),
(427,669,2023,1,1,10),
(428,669,2023,1,1,10),
(429,669,2023,1,1,10),
(430,669,null,null,null,null),
(55,680,null,null,null,null),
(56,680,2023,1,1,10),
(57,680,2023,1,1,10),
(58,680,2023,1,1,10),
(59,680,null,null,null,null),
(60,680,null,null,null,null),
(427,680,2023,1,1,10),
(428,680,null,null,null,null),
(429,680,null,null,null,null),
(430,680,2023,1,1,10),
(97,26,2018,1,1,10),
(98,26,null,null,null,null),
(99,26,null,null,null,null),
(100,26,null,null,null,null),
(101,26,2018,1,1,10),
(102,26,2018,1,1,10),
(455,26,2018,1,1,10),
(456,26,2018,1,1,10),
(457,26,null,null,null,null),
(458,26,null,null,null,null),
(97,37,2018,1,1,10),
(98,37,2018,1,1,10),
(99,37,2018,1,1,10),
(100,37,2018,1,1,10),
(101,37,2018,1,1,10),
(102,37,null,null,null,null),
(455,37,2018,1,1,10),
(456,37,2018,1,1,10),
(457,37,2018,1,1,10),
(458,37,null,null,null,null),
(97,156,2019,1,1,10),
(98,156,null,null,null,null),
(99,156,null,null,null,null),
(100,156,null,null,null,null),
(101,156,2019,1,1,10),
(102,156,null,null,null,null),
(455,156,2019,1,1,10),
(456,156,null,null,null,null),
(457,156,null,null,null,null),
(458,156,2019,1,1,10),
(97,167,null,null,null,null),
(98,167,null,null,null,null),
(99,167,2019,1,1,10),
(100,167,null,null,null,null),
(101,167,2019,1,1,10),
(102,167,2019,1,1,10),
(455,167,2019,1,1,10),
(456,167,2019,1,1,10),
(457,167,2019,1,1,10),
(458,167,null,null,null,null),
(97,286,null,null,null,null),
(98,286,null,null,null,null),
(99,286,2020,1,1,10),
(100,286,null,null,null,null),
(101,286,null,null,null,null),
(102,286,null,null,null,null),
(455,286,2020,1,1,10),
(456,286,null,null,null,null),
(457,286,null,null,null,null),
(458,286,2020,1,1,10),
(97,297,null,null,null,null),
(98,297,2020,1,1,10),
(99,297,null,null,null,null),
(100,297,null,null,null,null),
(101,297,2020,1,1,10),
(102,297,2020,1,1,10),
(455,297,null,null,null,null),
(456,297,2020,1,1,10),
(457,297,null,null,null,null),
(458,297,null,null,null,null),
(97,416,2021,1,1,10),
(98,416,2021,1,1,10),
(99,416,2021,1,1,10),
(100,416,2021,1,1,10),
(101,416,null,null,null,null),
(102,416,null,null,null,null),
(455,416,2021,1,1,10),
(456,416,2021,1,1,10),
(457,416,null,null,null,null),
(458,416,2021,1,1,10),
(97,427,null,null,null,null),
(98,427,2021,1,1,10),
(99,427,2021,1,1,10),
(100,427,null,null,null,null),
(101,427,2021,1,1,10),
(102,427,2021,1,1,10),
(455,427,null,null,null,null),
(456,427,2021,1,1,10),
(457,427,2021,1,1,10),
(458,427,null,null,null,null),
(97,546,null,null,null,null),
(98,546,null,null,null,null),
(99,546,null,null,null,null),
(100,546,2022,1,1,10),
(101,546,2022,1,1,10),
(102,546,2022,1,1,10),
(455,546,null,null,null,null),
(456,546,2022,1,1,10),
(457,546,null,null,null,null),
(458,546,2022,1,1,10),
(97,557,null,null,null,null),
(98,557,null,null,null,null),
(99,557,null,null,null,null),
(100,557,null,null,null,null),
(101,557,null,null,null,null),
(102,557,null,null,null,null),
(455,557,null,null,null,null),
(456,557,null,null,null,null),
(457,557,2022,1,1,10),
(458,557,null,null,null,null),
(97,676,null,null,null,null),
(98,676,null,null,null,null),
(99,676,null,null,null,null),
(100,676,2023,1,1,10),
(101,676,2023,1,1,10),
(102,676,2023,1,1,10),
(455,676,null,null,null,null),
(456,676,null,null,null,null),
(457,676,null,null,null,null),
(458,676,2023,1,1,10),
(97,687,null,null,null,null),
(98,687,2023,1,1,10),
(99,687,null,null,null,null),
(100,687,null,null,null,null),
(101,687,null,null,null,null),
(102,687,null,null,null,null),
(455,687,null,null,null,null),
(456,687,2023,1,1,10),
(457,687,null,null,null,null),
(458,687,2023,1,1,10),
(103,27,2018,1,1,10),
(104,27,2018,1,1,10),
(105,27,null,null,null,null),
(106,27,null,null,null,null),
(107,27,2018,1,1,10),
(108,27,2018,1,1,10),
(459,27,2018,1,1,10),
(460,27,2018,1,1,10),
(461,27,null,null,null,null),
(462,27,2018,1,1,10),
(103,38,null,null,null,null),
(104,38,null,null,null,null),
(105,38,null,null,null,null),
(106,38,null,null,null,null),
(107,38,2018,1,1,10),
(108,38,2018,1,1,10),
(459,38,2018,1,1,10),
(460,38,null,null,null,null),
(461,38,null,null,null,null),
(462,38,null,null,null,null),
(103,157,null,null,null,null),
(104,157,null,null,null,null),
(105,157,null,null,null,null),
(106,157,2019,1,1,10),
(107,157,null,null,null,null),
(108,157,null,null,null,null),
(459,157,2019,1,1,10),
(460,157,2019,1,1,10),
(461,157,2019,1,1,10),
(462,157,2019,1,1,10),
(103,168,2019,1,1,10),
(104,168,2019,1,1,10),
(105,168,null,null,null,null),
(106,168,null,null,null,null),
(107,168,2019,1,1,10),
(108,168,null,null,null,null),
(459,168,null,null,null,null),
(460,168,null,null,null,null),
(461,168,null,null,null,null),
(462,168,null,null,null,null),
(103,287,2020,1,1,10),
(104,287,2020,1,1,10),
(105,287,null,null,null,null),
(106,287,2020,1,1,10),
(107,287,null,null,null,null),
(108,287,null,null,null,null),
(459,287,2020,1,1,10),
(460,287,null,null,null,null),
(461,287,null,null,null,null),
(462,287,2020,1,1,10),
(103,298,null,null,null,null),
(104,298,2020,1,1,10),
(105,298,null,null,null,null),
(106,298,null,null,null,null),
(107,298,2020,1,1,10),
(108,298,null,null,null,null),
(459,298,null,null,null,null),
(460,298,2020,1,1,10),
(461,298,null,null,null,null),
(462,298,null,null,null,null),
(103,417,null,null,null,null),
(104,417,2021,1,1,10),
(105,417,2021,1,1,10),
(106,417,null,null,null,null),
(107,417,null,null,null,null),
(108,417,null,null,null,null),
(459,417,2021,1,1,10),
(460,417,null,null,null,null),
(461,417,2021,1,1,10),
(462,417,2021,1,1,10),
(103,428,null,null,null,null),
(104,428,2021,1,1,10),
(105,428,null,null,null,null),
(106,428,null,null,null,null),
(107,428,null,null,null,null),
(108,428,null,null,null,null),
(459,428,null,null,null,null),
(460,428,null,null,null,null),
(461,428,2021,1,1,10),
(462,428,2021,1,1,10),
(103,547,2022,1,1,10),
(104,547,2022,1,1,10),
(105,547,null,null,null,null),
(106,547,2022,1,1,10),
(107,547,null,null,null,null),
(108,547,null,null,null,null),
(459,547,null,null,null,null),
(460,547,2022,1,1,10),
(461,547,2022,1,1,10),
(462,547,null,null,null,null),
(103,558,2022,1,1,10),
(104,558,2022,1,1,10),
(105,558,null,null,null,null),
(106,558,null,null,null,null),
(107,558,2022,1,1,10),
(108,558,2022,1,1,10),
(459,558,2022,1,1,10),
(460,558,null,null,null,null),
(461,558,null,null,null,null),
(462,558,null,null,null,null),
(103,677,2023,1,1,10),
(104,677,2023,1,1,10),
(105,677,2023,1,1,10),
(106,677,2023,1,1,10),
(107,677,2023,1,1,10),
(108,677,null,null,null,null),
(459,677,2023,1,1,10),
(460,677,null,null,null,null),
(461,677,2023,1,1,10),
(462,677,2023,1,1,10),
(103,688,null,null,null,null),
(104,688,null,null,null,null),
(105,688,null,null,null,null),
(106,688,2023,1,1,10),
(107,688,null,null,null,null),
(108,688,2023,1,1,10),
(459,688,2023,1,1,10),
(460,688,2023,1,1,10),
(461,688,2023,1,1,10),
(462,688,null,null,null,null),
(127,42,null,null,null,null),
(128,42,2018,1,1,10),
(129,42,2018,1,1,10),
(130,42,null,null,null,null),
(131,42,2018,1,1,10),
(132,42,2018,1,1,10),
(475,42,null,null,null,null),
(476,42,2018,1,1,10),
(477,42,2018,1,1,10),
(478,42,2018,1,1,10),
(127,51,2018,1,1,10),
(128,51,2018,1,1,10),
(129,51,null,null,null,null),
(130,51,null,null,null,null),
(131,51,2018,1,1,10),
(132,51,null,null,null,null),
(475,51,null,null,null,null),
(476,51,null,null,null,null),
(477,51,2018,1,1,10),
(478,51,2018,1,1,10),
(127,172,2019,1,1,10),
(128,172,null,null,null,null),
(129,172,2019,1,1,10),
(130,172,null,null,null,null),
(131,172,2019,1,1,10),
(132,172,2019,1,1,10),
(475,172,null,null,null,null),
(476,172,2019,1,1,10),
(477,172,null,null,null,null),
(478,172,null,null,null,null),
(127,181,2019,1,1,10),
(128,181,null,null,null,null),
(129,181,2019,1,1,10),
(130,181,null,null,null,null),
(131,181,2019,1,1,10),
(132,181,null,null,null,null),
(475,181,2019,1,1,10),
(476,181,2019,1,1,10),
(477,181,null,null,null,null),
(478,181,null,null,null,null),
(127,302,2020,1,1,10),
(128,302,null,null,null,null),
(129,302,2020,1,1,10),
(130,302,null,null,null,null),
(131,302,null,null,null,null),
(132,302,null,null,null,null),
(475,302,2020,1,1,10),
(476,302,null,null,null,null),
(477,302,null,null,null,null),
(478,302,2020,1,1,10),
(127,311,2020,1,1,10),
(128,311,null,null,null,null),
(129,311,2020,1,1,10),
(130,311,2020,1,1,10),
(131,311,null,null,null,null),
(132,311,2020,1,1,10),
(475,311,2020,1,1,10),
(476,311,null,null,null,null),
(477,311,null,null,null,null),
(478,311,2020,1,1,10),
(127,432,2021,1,1,10),
(128,432,null,null,null,null),
(129,432,2021,1,1,10),
(130,432,null,null,null,null),
(131,432,2021,1,1,10),
(132,432,2021,1,1,10),
(475,432,2021,1,1,10),
(476,432,null,null,null,null),
(477,432,null,null,null,null),
(478,432,2021,1,1,10),
(127,441,null,null,null,null),
(128,441,2021,1,1,10),
(129,441,null,null,null,null),
(130,441,2021,1,1,10),
(131,441,null,null,null,null),
(132,441,2021,1,1,10),
(475,441,2021,1,1,10),
(476,441,null,null,null,null),
(477,441,null,null,null,null),
(478,441,null,null,null,null),
(127,562,null,null,null,null),
(128,562,2022,1,1,10),
(129,562,null,null,null,null),
(130,562,2022,1,1,10),
(131,562,2022,1,1,10),
(132,562,2022,1,1,10),
(475,562,null,null,null,null),
(476,562,2022,1,1,10),
(477,562,null,null,null,null),
(478,562,null,null,null,null),
(127,571,null,null,null,null),
(128,571,null,null,null,null),
(129,571,2022,1,1,10),
(130,571,2022,1,1,10),
(131,571,null,null,null,null),
(132,571,null,null,null,null),
(475,571,null,null,null,null),
(476,571,null,null,null,null),
(477,571,2022,1,1,10),
(478,571,2022,1,1,10),
(127,692,null,null,null,null),
(128,692,2023,1,1,10),
(129,692,null,null,null,null),
(130,692,null,null,null,null),
(131,692,2023,1,1,10),
(132,692,2023,1,1,10),
(475,692,null,null,null,null),
(476,692,2023,1,1,10),
(477,692,null,null,null,null),
(478,692,2023,1,1,10),
(127,701,null,null,null,null),
(128,701,2023,1,1,10),
(129,701,2023,1,1,10),
(130,701,null,null,null,null),
(131,701,2023,1,1,10),
(132,701,2023,1,1,10),
(475,701,null,null,null,null),
(476,701,2023,1,1,10),
(477,701,null,null,null,null),
(478,701,null,null,null,null),
(139,44,2018,1,1,10),
(140,44,2018,1,1,10),
(141,44,2018,1,1,10),
(142,44,2018,1,1,10),
(143,44,2018,1,1,10),
(144,44,null,null,null,null),
(483,44,2018,1,1,10),
(484,44,null,null,null,null),
(485,44,null,null,null,null),
(486,44,null,null,null,null),
(139,53,2018,1,1,10),
(140,53,null,null,null,null),
(141,53,2018,1,1,10),
(142,53,2018,1,1,10),
(143,53,null,null,null,null),
(144,53,2018,1,1,10),
(483,53,null,null,null,null),
(484,53,null,null,null,null),
(485,53,2018,1,1,10),
(486,53,null,null,null,null),
(139,174,null,null,null,null),
(140,174,2019,1,1,10),
(141,174,null,null,null,null),
(142,174,2019,1,1,10),
(143,174,null,null,null,null),
(144,174,2019,1,1,10),
(483,174,null,null,null,null),
(484,174,2019,1,1,10),
(485,174,null,null,null,null),
(486,174,null,null,null,null),
(139,183,2019,1,1,10),
(140,183,2019,1,1,10),
(141,183,null,null,null,null),
(142,183,2019,1,1,10),
(143,183,2019,1,1,10),
(144,183,2019,1,1,10),
(483,183,null,null,null,null),
